Provincias;Municipios;Sexo;Edad;Total
05 Ávila;05045 Cabizuela;Total;De 65 a 69 años;4
05 Ávila;05045 Cabizuela;Total;De 70 a 74 años;6
05 Ávila;05045 Cabizuela;Total;De 75 a 79 años;4
05 Ávila;05045 Cabizuela;Total;De 80 a 84 años;4
05 Ávila;05045 Cabizuela;Total;De 85 a 89 años;6
05 Ávila;05045 Cabizuela;Total;De 90 a 94 años;5
05 Ávila;05045 Cabizuela;Total;De 95 a 99 años;1
05 Ávila;05045 Cabizuela;Total;100 y más años;0
05 Ávila;05046 Canales;Total;De 65 a 69 años;1
05 Ávila;05046 Canales;Total;De 70 a 74 años;2
05 Ávila;05046 Canales;Total;De 75 a 79 años;3
05 Ávila;05046 Canales;Total;De 80 a 84 años;2
05 Ávila;05046 Canales;Total;De 85 a 89 años;2
05 Ávila;05046 Canales;Total;De 90 a 94 años;0
05 Ávila;05046 Canales;Total;De 95 a 99 años;0
05 Ávila;05046 Canales;Total;100 y más años;0
05 Ávila;05047 Candeleda;Total;De 65 a 69 años;366
05 Ávila;05047 Candeleda;Total;De 70 a 74 años;294
05 Ávila;05047 Candeleda;Total;De 75 a 79 años;245
05 Ávila;05047 Candeleda;Total;De 80 a 84 años;222
05 Ávila;05047 Candeleda;Total;De 85 a 89 años;123
05 Ávila;05047 Candeleda;Total;De 90 a 94 años;96
05 Ávila;05047 Candeleda;Total;De 95 a 99 años;29
05 Ávila;05047 Candeleda;Total;100 y más años;4
05 Ávila;05048 Cantiveros;Total;De 65 a 69 años;12
05 Ávila;05048 Cantiveros;Total;De 70 a 74 años;10
05 Ávila;05048 Cantiveros;Total;De 75 a 79 años;7
05 Ávila;05048 Cantiveros;Total;De 80 a 84 años;7
05 Ávila;05048 Cantiveros;Total;De 85 a 89 años;6
05 Ávila;05048 Cantiveros;Total;De 90 a 94 años;2
05 Ávila;05048 Cantiveros;Total;De 95 a 99 años;1
05 Ávila;05048 Cantiveros;Total;100 y más años;0
05 Ávila;05049 Cardeñosa;Total;De 65 a 69 años;28
05 Ávila;05049 Cardeñosa;Total;De 70 a 74 años;28
05 Ávila;05049 Cardeñosa;Total;De 75 a 79 años;18
05 Ávila;05049 Cardeñosa;Total;De 80 a 84 años;23
05 Ávila;05049 Cardeñosa;Total;De 85 a 89 años;16
05 Ávila;05049 Cardeñosa;Total;De 90 a 94 años;9
05 Ávila;05049 Cardeñosa;Total;De 95 a 99 años;2
05 Ávila;05049 Cardeñosa;Total;100 y más años;0
05 Ávila;05051 Carrera, La;Total;De 65 a 69 años;12
05 Ávila;05051 Carrera, La;Total;De 70 a 74 años;12
05 Ávila;05051 Carrera, La;Total;De 75 a 79 años;21
05 Ávila;05051 Carrera, La;Total;De 80 a 84 años;9
05 Ávila;05051 Carrera, La;Total;De 85 a 89 años;4
05 Ávila;05051 Carrera, La;Total;De 90 a 94 años;4
05 Ávila;05051 Carrera, La;Total;De 95 a 99 años;1
05 Ávila;05051 Carrera, La;Total;100 y más años;0
05 Ávila;05052 Casas del Puerto;Total;De 65 a 69 años;7
05 Ávila;05052 Casas del Puerto;Total;De 70 a 74 años;8
05 Ávila;05052 Casas del Puerto;Total;De 75 a 79 años;8
05 Ávila;05052 Casas del Puerto;Total;De 80 a 84 años;6
05 Ávila;05052 Casas del Puerto;Total;De 85 a 89 años;3
05 Ávila;05052 Casas del Puerto;Total;De 90 a 94 años;3
05 Ávila;05052 Casas del Puerto;Total;De 95 a 99 años;0
05 Ávila;05052 Casas del Puerto;Total;100 y más años;2
05 Ávila;05053 Casasola;Total;De 65 a 69 años;7
05 Ávila;05053 Casasola;Total;De 70 a 74 años;5
05 Ávila;05053 Casasola;Total;De 75 a 79 años;5
05 Ávila;05053 Casasola;Total;De 80 a 84 años;10
05 Ávila;05053 Casasola;Total;De 85 a 89 años;7
05 Ávila;05053 Casasola;Total;De 90 a 94 años;4
05 Ávila;05053 Casasola;Total;De 95 a 99 años;2
05 Ávila;05053 Casasola;Total;100 y más años;0
05 Ávila;05054 Casavieja;Total;De 65 a 69 años;123
05 Ávila;05054 Casavieja;Total;De 70 a 74 años;83
05 Ávila;05054 Casavieja;Total;De 75 a 79 años;73
05 Ávila;05054 Casavieja;Total;De 80 a 84 años;48
05 Ávila;05054 Casavieja;Total;De 85 a 89 años;42
05 Ávila;05054 Casavieja;Total;De 90 a 94 años;36
05 Ávila;05054 Casavieja;Total;De 95 a 99 años;9
05 Ávila;05054 Casavieja;Total;100 y más años;1
05 Ávila;05055 Casillas;Total;De 65 a 69 años;60
05 Ávila;05055 Casillas;Total;De 70 a 74 años;39
05 Ávila;05055 Casillas;Total;De 75 a 79 años;42
05 Ávila;05055 Casillas;Total;De 80 a 84 años;35
05 Ávila;05055 Casillas;Total;De 85 a 89 años;23
05 Ávila;05055 Casillas;Total;De 90 a 94 años;16
05 Ávila;05055 Casillas;Total;De 95 a 99 años;6
05 Ávila;05055 Casillas;Total;100 y más años;1
