ID|TIPO_VIA|NOMBRE_VIA|PORTAL1|PORTAL2|CODPOSTAL|COD_INE_MUNICIPIO|PROVINCIA|MUNICIPIO|POBLACION|LATITUD_WGS84_4326|LONGITUD_WGS84_4326
37-E1-00177||CALLE EL ARROYO|31||37271|37039|SALAMANCA|BAÑOBÁREZ|BAÑOBAREZ||
37-E1-00178||CALLE BOLEO|6||37796|37032|SALAMANCA|ARAPILES|ARAPILES||
37-E1-00182||CALLE IGLESIA|8||37893|37175|SALAMANCA|MACHACÓN|MACHACON||
37-E1-00184||CALLE ORIENTE|10||37310|37174|SALAMANCA|MACOTERA|MACOTERA||
37-E1-00185||CALLE NORTE|28||37281|37113|SALAMANCA|EL CUBO DE DON SANCHO|CUBO DE DON SANCHO (EL)||
37-E1-00186||CALLE IGLESIA|11||37799|37323|SALAMANCA|TOPAS|TOPAS||
37-E1-00187||PLAZA IGLESIA|25||37863|37029|SALAMANCA|ANAYA DE ALBA|ANAYA DE ALBA||
37-E1-00193||CALLE POZO|3||37523|37245|SALAMANCA|PEÑAPARDA|PEÑAPARDA||
37-E1-00200||CALLE BALNEARIO|0||37115|37345|SALAMANCA|VEGA DE TIRADOS|BAÑOS DE LEDESMA||
37-E1-00204||CALLE MAYOR|24||37290|37052|SALAMANCA|BOADA|BOADA||
37-E1-00206||CALLE IGLESIA|15||37797|37185|SALAMANCA|CASTELLANOS DE VILLIQUERA|CASTELLANOS DE VILLIQUERA||
37-E1-00207||CALLE CARRETERA|3|||37342|SALAMANCA|VALVERDÓN|VALVERDON||
37-E1-00218||CALLE MAYOR|3||37720|37102|SALAMANCA|EL CERRO|CERRO (EL)||
37-E1-00242||CALLE REINA SOFIA|21||37770|37156|SALAMANCA|GUIJUELO|GUIJUELO||
37-E1-00243||CALLE SAN BRUNO|62||37006|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00245||PLAZA ESPAÑA|4||37406|37256|SALAMANCA|POVEDA DE LAS CINTAS|POVEDA DE LAS CINTAS||
37-E1-00246||CALLE CORAZON DE MARIA|4|||37015|SALAMANCA|ALDEA DEL OBISPO|ALDEA DEL OBISPO||
37-E1-00267||CALLE CASABLANCA|10||37008|37274|SALAMANCA|SALAMANCA|SALAMANCA||
37-E1-00268||CALLE CARRETERA SALAMANCA|2|||37046|SALAMANCA|BÉJAR|BEJAR||
37-E1-00269||CALLE LIBERTAD|73||37700|37046|SALAMANCA|BÉJAR|BEJAR||
40-E1-00005||PLAZA CORPUS (DEL)|1||40001|40194|SEGOVIA|SEGOVIA|SEGOVIA||
40-E1-00006||CALLE CERVANTES|27||40001|40194|SEGOVIA|SEGOVIA|SEGOVIA||
40-E1-00007||CALLE CRONISTA LECEA (DEL)|6||40001|40194|SEGOVIA|SEGOVIA|SEGOVIA||
40-E1-00011||PLAZA C/ MAYOR|10||40450|40138|SEGOVIA|NAVA DE LA ASUNCIÓN|NAVA DE LA ASUNCION||
40-E1-00017||CALLE MARQUES DE PERALES|2||40400|40076|SEGOVIA|EL ESPINAR|ESPINAR (EL)||
40-E1-00018||CALLE ETREROS|2||40134|40180|SEGOVIA|SANGARCÍA|SANGARCIA||
40-E1-00020||CALLE JOSE ZORRILLA|117||40002|40194|SEGOVIA|SEGOVIA|SEGOVIA||
40-E1-00021||PLAZA POSITO REAL|1||40270|40043|SEGOVIA|CARBONERO EL MAYOR|CARBONERO EL MAYOR||
